title,genre,running_time,screening_rat,director,dir_movies,main_role_movies,rating
클레멘타인,액션,러닝 타임 중앙값 이상,15세 관람가,김두영,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 이상,명작
동주,드라마,러닝 타임 중앙값 이상,12세 관람가,이준익,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 미만,명작
안녕 베일리,가족,러닝 타임 중앙값 이상,전체 관람가,게일 맨쿠소,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 이상,명작
여인의 향기,드라마,러닝 타임 중앙값 이상,15세 관람가,마틴 브레스트,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 이상,명작
서유기 2 - 선리기연,코미디,러닝 타임 중앙값 이상,15세 관람가,유진위,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 이상,명작
미스 슬로운,드라마,러닝 타임 중앙값 이상,15세 관람가,존 매든,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 이상,명작
굿 윌 헌팅,드라마,러닝 타임 중앙값 이상,15세 관람가,구스 반 산트,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 이상,명작
다시 태어나도 우리,다큐멘터리,러닝 타임 중앙값 이상,전체 관람가,문창용,연출작 개수 중앙값 미만,주연의 출연작 개수 중앙값 미만,명작
트루먼 쇼,코미디,러닝 타임 중앙값 이상,12세 관람가,피터 위어,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 이상,명작
굿바이 마이 프랜드,드라마,러닝 타임 중앙값 이상,12세 관람가,피터 호튼,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 미만,명작
주토피아,애니메이션,러닝 타임 중앙값 이상,전체 관람가,바이론 하워드,연출작 개수 중앙값 미만,주연의 출연작 개수 중앙값 미만,명작
지상의 별처럼,드라마,러닝 타임 중앙값 이상,전체 관람가,아미르 칸,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 미만,명작
아이즈 온 미 : 더 무비,공연실황,러닝 타임 중앙값 이상,상영등급 정보 없음,권은비,연출작 개수 중앙값 미만,연기자 없음,명작
반지의 제왕: 두 개의 탑,판타지,러닝 타임 중앙값 이상,12세 관람가,피터 잭슨,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 이상,명작
모노노케 히메,애니메이션,러닝 타임 중앙값 이상,전체 관람가,미야자키 하야오,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 미만,명작
해리 포터와 마법사의 돌,판타지,러닝 타임 중앙값 이상,전체 관람가,크리스 콜럼버스,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 미만,명작
세 얼간이,코미디,러닝 타임 중앙값 이상,12세 관람가,라지쿠마르 히라니,연출작 개수 중앙값 미만,주연의 출연작 개수 중앙값 이상,명작
"지금, 만나러 갑니다",멜로/로맨스,러닝 타임 중앙값 이상,12세 관람가,도이 노부히로,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 이상,명작
나 홀로 집에 2 - 뉴욕을 헤매다,모험,러닝 타임 중앙값 이상,전체 관람가,크리스 콜럼버스,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 미만,명작
더 록,액션,러닝 타임 중앙값 이상,15세 관람가,마이클 베이,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 이상,명작
에이리언 2,SF,러닝 타임 중앙값 이상,15세 관람가,제임스 카메론,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 이상,명작
아기공룡 둘리 - 얼음별 대모험,애니메이션,러닝 타임 중앙값 미만,전체 관람가,김수정,연출작 개수 중앙값 미만,주연의 출연작 개수 중앙값 이상,명작
울지마 톤즈,다큐멘터리,러닝 타임 중앙값 미만,전체 관람가,구수환,연출작 개수 중앙값 미만,주연의 출연작 개수 중앙값 미만,명작
미세스 다웃파이어,코미디,러닝 타임 중앙값 이상,12세 관람가,크리스 콜럼버스,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 이상,명작
다크 나이트,액션,러닝 타임 중앙값 이상,15세 관람가,크리스토퍼 놀란,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 이상,명작
알라딘,애니메이션,러닝 타임 중앙값 미만,전체 관람가,존 머스커,연출작 개수 중앙값 미만,주연의 출연작 개수 중앙값 미만,명작
아마데우스,드라마,러닝 타임 중앙값 이상,12세 관람가,밀로스 포만,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 미만,명작
빌리 엘리어트,드라마,러닝 타임 중앙값 이상,12세 관람가,스티븐 달드리,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 이상,명작
로망,멜로/로맨스,러닝 타임 중앙값 이상,전체 관람가,이창근,연출작 개수 중앙값 미만,주연의 출연작 개수 중앙값 이상,명작
언터처블: 1%의 우정,코미디,러닝 타임 중앙값 이상,12세 관람가,올리비에르 나카체,연출작 개수 중앙값 미만,주연의 출연작 개수 중앙값 이상,명작
그대를 사랑합니다,드라마,러닝 타임 중앙값 이상,15세 관람가,추창민,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 이상,명작
아이 엠 샘,드라마,러닝 타임 중앙값 이상,12세 관람가,제시 넬슨,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 이상,명작
달링,드라마,러닝 타임 중앙값 이상,12세 관람가,앤디 서키스,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 미만,명작
피아니스트,드라마,러닝 타임 중앙값 이상,12세 관람가,로만 폴란스키,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 이상,명작
시네마 천국,드라마,러닝 타임 중앙값 이상,전체 관람가,쥬세페 토르나토레,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 미만,명작
아이언 자이언트,애니메이션,러닝 타임 중앙값 미만,전체 관람가,브래드 버드,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 이상,명작
자산어보,드라마,러닝 타임 중앙값 이상,12세 관람가,이준익,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 이상,명작
라푼젤,애니메이션,러닝 타임 중앙값 이상,전체 관람가,네이슨 그레노,연출작 개수 중앙값 미만,주연의 출연작 개수 중앙값 이상,명작
프리 윌리,가족,러닝 타임 중앙값 이상,전체 관람가,사이먼 윈서,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 미만,명작
언더독,애니메이션,러닝 타임 중앙값 이상,전체 관람가,오성윤,연출작 개수 중앙값 미만,주연의 출연작 개수 중앙값 미만,명작
두 교황,드라마,러닝 타임 중앙값 이상,12세 관람가,페르난도 메이렐레스,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 이상,명작
오세암,애니메이션,러닝 타임 중앙값 미만,전체 관람가,성백엽,연출작 개수 중앙값 미만,주연의 출연작 개수 중앙값 이상,명작
업,애니메이션,러닝 타임 중앙값 이상,전체 관람가,피트 닥터,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 이상,명작
프리퀀시,범죄,러닝 타임 중앙값 이상,12세 관람가,그레고리 호블릿,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 이상,명작
드래곤 길들이기,애니메이션,러닝 타임 중앙값 이상,전체 관람가,딘 데블로이스,연출작 개수 중앙값 미만,주연의 출연작 개수 중앙값 이상,명작
소원,드라마,러닝 타임 중앙값 이상,12세 관람가,이준익,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 이상,명작
천공의 성 라퓨타,애니메이션,러닝 타임 중앙값 이상,전체 관람가,미야자키 하야오,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 이상,명작
해리 포터와 죽음의 성물 - 2부,모험,러닝 타임 중앙값 이상,전체 관람가,데이빗 예이츠,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 미만,명작
토이 스토리,애니메이션,러닝 타임 중앙값 미만,전체 관람가,존 라세터,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 이상,명작
블라인드 사이드,드라마,러닝 타임 중앙값 이상,12세 관람가,존 리 행콕,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 이상,명작
러브 유어셀프 인 서울,공연실황,러닝 타임 중앙값 이상,상영등급 정보 없음,RM,연출작 개수 중앙값 미만,연기자 없음,명작
주먹왕 랄프,애니메이션,러닝 타임 중앙값 이상,전체 관람가,리치 무어,연출작 개수 중앙값 미만,주연의 출연작 개수 중앙값 이상,명작
모던 타임즈,코미디,러닝 타임 중앙값 미만,전체 관람가,찰리 채플린,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 이상,명작
코코,애니메이션,러닝 타임 중앙값 이상,전체 관람가,리 언크리치,연출작 개수 중앙값 미만,주연의 출연작 개수 중앙값 미만,명작
늑대와 춤을,서부,러닝 타임 중앙값 이상,15세 관람가,케빈 코스트너,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 이상,명작
쥬라기 공원,SF,러닝 타임 중앙값 이상,12세 관람가,스티븐 스필버그,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 이상,명작
브레이크 더 사일런스: 더 무비,다큐멘터리,러닝 타임 중앙값 미만,전체 관람가,박준수,연출작 개수 중앙값 미만,주연의 출연작 개수 중앙값 미만,명작
패왕별희 디 오리지널,드라마,러닝 타임 중앙값 이상,15세 관람가,천카이거,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 이상,명작
에이 아이,SF,러닝 타임 중앙값 이상,12세 관람가,스티븐 스필버그,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 이상,명작
우리들의 일그러진 영웅,드라마,러닝 타임 중앙값 이상,전체 관람가,박종원,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 이상,명작
코러스,드라마,러닝 타임 중앙값 이상,전체 관람가,크리스토퍼 파라티에,연출작 개수 중앙값 미만,주연의 출연작 개수 중앙값 이상,명작
폴리스 스토리,액션,러닝 타임 중앙값 이상,12세 관람가,성룡,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 이상,명작
메리 포핀스,가족,러닝 타임 중앙값 이상,전체 관람가,로버트 스티븐슨,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 이상,명작
