,title,genre,running_time,screening_rat,director,dir_movies,main_role_movies,rating
8362,라 풀르 위흘,장르 정보 없음,상영 시간 정보 없음,상영등급 정보 없음,존 도메리,1개,47개,평점 중앙값 이상의 작품
8363,라가머핀,드라마,137분,12세 관람가,데이빗 슐츠,5개,1개,평점 중앙값 이상의 작품
8364,라데 라데: 라이츠 오브 홀리,다큐멘터리,35분,상영등급 정보 없음,프라샨트 바르가바,3개,연기자 없음,평점 중앙값 미만의 작품
8365,라듐 시티,다큐멘터리,110분,상영등급 정보 없음,캐롤 랭거,4개,연기자 없음,평점 중앙값 이상의 작품
8366,라디오 데이즈,장르 정보 없음,상영 시간 정보 없음,전체 관람가,우디 알렌,86개,55개,평점 중앙값 이상의 작품
8367,라디오 드림즈,코미디,91분,상영등급 정보 없음,바박 잘라리,3개,11개,평점 중앙값 이상의 작품
8368,라디오 레벨,드라마,미국,상영등급 정보 없음,피터 호윗,11개,15개,평점 중앙값 미만의 작품
8369,라디오 시티 레벌스,코미디,90분,NR,벤자민 스톨로프,7개,19개,평점 중앙값 미만의 작품
8370,라디오 액터,액션,미국,15세 관람가,제프 요니스,3개,22개,평점 중앙값 미만의 작품
8371,라디오 언네이머블,다큐멘터리,87분,NR,제시카 울프슨,6개,6개,평점 중앙값 이상의 작품
8372,라디오 인사이드,드라마,91분,12세 관람가,제프리 벨,6개,47개,평점 중앙값 이상의 작품
8373,라디오 프리 앨브무스,드라마,상영 시간 정보 없음,상영등급 정보 없음,존 앨런 시몬,2개,23개,평점 중앙값 미만의 작품
8374,라따뚜이,코미디,115분,전체 관람가,브래드 버드,14개,53개,평점 중앙값 이상의 작품
8375,라라미 프로젝트,드라마,97분,NR,모이세스 카우프만,1개,63개,평점 중앙값 이상의 작품
8376,라라미에서온총잡이,서부,104분,12세 관람가,안소니 만,29개,71개,평점 중앙값 이상의 작품
8377,라리스 킨,다큐멘터리,미국,상영등급 정보 없음,데보라 딕슨,6개,1개,평점 중앙값 이상의 작품
8378,라모너 앤 비저스,모험,123분,전체 관람가,엘리자베스 앨런,5개,35개,평점 중앙값 이상의 작품
8379,라미야스 포엠,애니메이션,89분,상영등급 정보 없음,알렉스 크로네머,1개,연기자 없음,평점 중앙값 이상의 작품
8380,라비린스,다큐멘터리,38분,상영등급 정보 없음,제이슨 A. 슈미트,1개,연기자 없음,평점 중앙값 이상의 작품
8381,라산 롤랜드 커크의 검은 클래식,다큐멘터리,87분,상영등급 정보 없음,아담 카한,1개,연기자 없음,평점 중앙값 이상의 작품
8382,라서니,코미디,101분,15세 관람가,어빙 슈왈츠,3개,47개,평점 중앙값 미만의 작품
8383,라스베가스 나이츠,뮤지컬,90분,NR,랠프 머피,3개,8개,평점 중앙값 미만의 작품
8384,라스베가스 습격작전,액션,94분,15세 관람가,데미안 리히트스타인,2개,39개,평점 중앙값 미만의 작품
8385,라스베가스 캅,범죄,86분,청소년 관람불가,조이 트라볼타,23개,37개,평점 중앙값 미만의 작품
8386,라스베가스를 떠나며,멜로/로맨스,111분,청소년 관람불가,마이크 피기스,24개,108개,평점 중앙값 이상의 작품
8387,라스베가스에서만 생길 수 있는 일,멜로/로맨스,98분,15세 관람가,톰 본,9개,48개,평점 중앙값 이상의 작품
8388,라스베가스의 공포와 혐오,모험,118분,15세 관람가,테리 길리엄,35개,81개,평점 중앙값 이상의 작품
8389,라스베가스의 꿈,코미디,102분,상영등급 정보 없음,아미르 나데리,16개,2개,평점 중앙값 이상의 작품
8390,라스베가스의 도박사들,코미디,105분,15세 관람가,할 애쉬비,18개,78개,평점 중앙값 미만의 작품
8391,라스트 15,장르 정보 없음,상영 시간 정보 없음,상영등급 정보 없음,안토니오 캠포스,12개,22개,평점 중앙값 미만의 작품
8392,라스트 걸 스탠딩,스릴러,90분,청소년 관람불가,벤자민 R. 무디,2개,2개,평점 중앙값 미만의 작품
8393,라스트 굿바이,드라마,95분,NR,제이콥 젠트리,9개,8개,평점 중앙값 미만의 작품
